L/2,density,probability_of_spread,south_wind_speed,west_wind_speed,big-jumps,percentage-burned
450,40,100,0,-10,FALSE,1.976600248
450,50,100,0,-10,FALSE,2.116554595
450,60,100,0,-10,FALSE,18.14968373
450,70,100,0,-10,FALSE,97.78626301
450,80,100,0,-10,FALSE,100.1356311
450,90,100,0,-10,FALSE,100.4331224
450,10,100,0,0,FALSE,4.375701234
450,20,100,0,0,FALSE,2.573381584
450,30,100,0,0,FALSE,1.967038809
450,40,100,0,0,FALSE,1.924228512
450,50,100,0,0,FALSE,3.260419652
450,60,100,0,0,FALSE,78.76661547
450,70,100,0,0,FALSE,98.90873468
450,80,100,0,0,FALSE,100.2778555
450,90,100,0,0,FALSE,100.4398801
450,10,100,0,10,FALSE,4.399296113
450,20,100,0,10,FALSE,2.607398099
450,30,100,0,10,FALSE,2.05399061
450,40,100,0,10,FALSE,2.139464336
450,50,100,0,10,FALSE,3.556997868
450,60,100,0,10,FALSE,14.13877638
450,70,100,0,10,FALSE,97.74187668
450,80,100,0,10,FALSE,100.1237377
450,90,100,0,10,FALSE,100.4281594
450,10,100,0,20,FALSE,4.317927395
450,20,100,0,20,FALSE,2.622349753
450,30,100,0,20,FALSE,1.87194214
450,40,100,0,20,FALSE,2.294056309
450,50,100,0,20,FALSE,3.181789198
450,60,100,0,20,FALSE,67.25173941
450,70,100,0,20,FALSE,97.51156484
450,80,100,0,20,FALSE,100.0259688
450,90,100,0,20,FALSE,100.4070364
450,10,100,0,-20,FALSE,4.224904701
450,20,100,0,-20,FALSE,2.543984784
450,30,100,0,-20,FALSE,1.991244928
450,40,100,0,-20,FALSE,1.959147989
450,50,100,0,-20,FALSE,2.094556056
450,60,100,0,-20,FALSE,10.92316666
450,70,100,0,-20,FALSE,97.07257016
450,80,100,0,-20,FALSE,100.0876302
450,90,100,0,-20,FALSE,100.4162386
450,10,100,0,-10,FALSE,4.419713831
450,20,100,0,-10,FALSE,2.533354511
450,30,100,0,-10,FALSE,1.938474505
450,40,100,0,-10,FALSE,1.92095733
450,50,100,0,-10,FALSE,2.705627706
450,60,100,0,-10,FALSE,56.28409484
450,70,100,0,-10,FALSE,97.97094188
450,80,100,0,-10,FALSE,100.1360708
450,90,100,0,-10,FALSE,100.4142546
450,10,100,0,0,FALSE,4.609701253
450,20,100,0,0,FALSE,2.490482234
450,30,100,0,0,FALSE,2.116147005
450,40,100,0,0,FALSE,2.346685856
450,50,100,0,0,FALSE,4.256344362
450,60,100,0,0,FALSE,71.62575878
450,70,100,0,0,FALSE,98.51114923
450,80,100,0,0,FALSE,100.2768207
450,90,100,0,0,FALSE,100.4380831
450,10,100,0,10,FALSE,4.44549913
450,20,100,0,10,FALSE,2.574493445
450,30,100,0,10,FALSE,2.101307363
450,40,100,0,10,FALSE,2.214549351
450,50,100,0,10,FALSE,3.620155286
450,60,100,0,10,FALSE,31.91895113
450,70,100,0,10,FALSE,98.21338931
450,80,100,0,10,FALSE,100.160989
450,90,100,0,10,FALSE,100.4155321
450,10,100,0,20,FALSE,4.495093384
450,20,100,0,20,FALSE,2.498418722
450,30,100,0,20,FALSE,2.042000844
450,40,100,0,20,FALSE,2.046167905
450,50,100,0,20,FALSE,3.746314575
450,60,100,0,20,FALSE,38.6099772
450,70,100,0,20,FALSE,97.78223052
450,80,100,0,20,FALSE,100.1313459
450,90,100,0,20,FALSE,100.4146069
