,L/2,density,probability_of_spread,south_wind_speed,west_wind_speed,big-jumps,percentage-burned
0,150.0,10.0,100.0,0.0,0.0,false,4.415461973601509
1,200.0,10.0,100.0,0.0,0.0,false,4.4543429844097995
2,250.0,10.0,100.0,0.0,0.0,false,4.429873660642891
3,300.0,10.0,100.0,0.0,0.0,false,4.49438202247191
4,350.0,10.0,100.0,0.0,0.0,false,4.4895350694999205
5,400.0,10.0,100.0,0.0,0.0,false,4.371153542685813
6,450.0,10.0,100.0,0.0,0.0,false,4.542525773195876
7,500.0,10.0,100.0,0.0,0.0,false,4.346456692913385
8,150.0,20.0,100.0,0.0,0.0,false,2.51657745466166
9,200.0,20.0,100.0,0.0,0.0,false,2.5487376158517097
10,250.0,20.0,100.0,0.0,0.0,false,2.4524684454385683
11,300.0,20.0,100.0,0.0,0.0,false,2.5233349153614935
12,350.0,20.0,100.0,0.0,0.0,false,2.476780185758514
13,400.0,20.0,100.0,0.0,0.0,false,2.8689174195593594
14,450.0,20.0,100.0,0.0,0.0,false,2.5394536569734836
15,500.0,20.0,100.0,0.0,0.0,false,2.479732951835956
16,150.0,30.0,100.0,0.0,0.0,false,1.9603665033027913
17,200.0,30.0,100.0,0.0,0.0,false,1.9259337860780985
18,250.0,30.0,100.0,0.0,0.0,false,2.337523401979139
19,300.0,30.0,100.0,0.0,0.0,false,1.9925412892914225
20,350.0,30.0,100.0,0.0,0.0,false,2.041355968057539
21,400.0,30.0,100.0,0.0,0.0,false,1.9462268653550405
22,450.0,30.0,100.0,0.0,0.0,false,2.0268477741815674
23,500.0,30.0,100.0,0.0,0.0,false,2.0724560468833246
24,150.0,40.0,100.0,0.0,0.0,false,2.1033034936227524
25,200.0,40.0,100.0,0.0,0.0,false,2.198507582444034
26,250.0,40.0,100.0,0.0,0.0,false,2.1946564885496183
27,300.0,40.0,100.0,0.0,0.0,false,2.32939763858315
28,350.0,40.0,100.0,0.0,0.0,false,2.2559687512455655
29,400.0,40.0,100.0,0.0,0.0,false,2.140685019206146
30,450.0,40.0,100.0,0.0,0.0,false,1.916058394160584
31,500.0,40.0,100.0,0.0,0.0,false,2.2879084836606536
32,150.0,50.0,100.0,0.0,0.0,false,3.3422630437555814
33,200.0,50.0,100.0,0.0,0.0,false,4.184727180010199
34,250.0,50.0,100.0,0.0,0.0,false,3.586928772019403
35,300.0,50.0,100.0,0.0,0.0,false,3.180693854252553
36,350.0,50.0,100.0,0.0,0.0,false,3.778129952456418
37,400.0,50.0,100.0,0.0,0.0,false,3.378141064529519
38,450.0,50.0,100.0,0.0,0.0,false,3.9184504309659363
39,500.0,50.0,100.0,0.0,0.0,false,2.9235120277098097
40,150.0,60.0,100.0,0.0,0.0,false,69.8524524790642
41,200.0,60.0,100.0,0.0,0.0,false,37.58738935112576
42,250.0,60.0,100.0,0.0,0.0,false,54.99279115715277
43,300.0,60.0,100.0,0.0,0.0,false,76.25434016273954
44,350.0,60.0,100.0,0.0,0.0,false,77.3379672618258
45,400.0,60.0,100.0,0.0,0.0,false,15.549554848541561
46,450.0,60.0,100.0,0.0,0.0,false,75.60303239145418
