,L/2,density,probability_of_spread,south_wind_speed,west_wind_speed,big-jumps,percentage-burned
0,450.0,10.0,40.0,0.0,0.0,false,4.123874229736135
1,450.0,20.0,40.0,0.0,0.0,false,2.1491782553729455
2,450.0,30.0,40.0,0.0,0.0,false,1.4968001269371134
3,450.0,40.0,40.0,0.0,0.0,false,1.2759489620415183
4,450.0,50.0,40.0,0.0,0.0,false,1.0687806913374203
5,450.0,60.0,40.0,0.0,0.0,false,0.9360167581470581
6,450.0,70.0,40.0,0.0,0.0,false,1.0603440429598616
7,450.0,80.0,40.0,0.0,0.0,false,1.0525896889985473
8,450.0,90.0,40.0,0.0,0.0,false,1.1056380452886352
9,450.0,10.0,41.0,0.0,0.0,false,4.142292490118577
10,450.0,20.0,41.0,0.0,0.0,false,2.2245091830272323
11,450.0,30.0,41.0,0.0,0.0,false,1.6281062553556127
12,450.0,40.0,41.0,0.0,0.0,false,1.2541438670767264
13,450.0,50.0,41.0,0.0,0.0,false,1.0916339703834959
14,450.0,60.0,41.0,0.0,0.0,false,1.1040632713182408
15,450.0,70.0,41.0,0.0,0.0,false,1.0977474496200104
16,450.0,80.0,41.0,0.0,0.0,false,0.9723664244069962
17,450.0,90.0,41.0,0.0,0.0,false,1.1358610074131739
18,450.0,10.0,42.0,0.0,0.0,false,4.077761972498815
19,450.0,20.0,42.0,0.0,0.0,false,2.2666988184229564
20,450.0,30.0,42.0,0.0,0.0,false,1.49852258336851
21,450.0,40.0,42.0,0.0,0.0,false,1.361031518624642
22,450.0,50.0,42.0,0.0,0.0,false,1.203659123736158
23,450.0,60.0,42.0,0.0,0.0,false,0.9749564751573591
24,450.0,70.0,42.0,0.0,0.0,false,0.997141223556318
25,450.0,80.0,42.0,0.0,0.0,false,1.0628153681115657
26,450.0,90.0,42.0,0.0,0.0,false,1.3042707779549885
27,450.0,10.0,43.0,0.0,0.0,false,4.187657430730479
28,450.0,20.0,43.0,0.0,0.0,false,2.2440726350011895
29,450.0,30.0,43.0,0.0,0.0,false,1.518839966130398
30,450.0,40.0,43.0,0.0,0.0,false,1.2161084529505584
31,450.0,50.0,43.0,0.0,0.0,false,1.1262123532414496
32,450.0,60.0,43.0,0.0,0.0,false,1.1820644955639377
33,450.0,70.0,43.0,0.0,0.0,false,1.1321357649905275
34,450.0,80.0,43.0,0.0,0.0,false,1.3763295223678447
35,450.0,90.0,43.0,0.0,0.0,false,1.4778412204564337
36,450.0,10.0,44.0,0.0,0.0,false,4.1966802380206705
37,450.0,20.0,44.0,0.0,0.0,false,2.211302211302211
38,450.0,30.0,44.0,0.0,0.0,false,1.5873855759563997
39,450.0,40.0,44.0,0.0,0.0,false,1.2928611579539067
40,450.0,50.0,44.0,0.0,0.0,false,1.1924119241192412
41,450.0,60.0,44.0,0.0,0.0,false,1.0449542500994562
42,450.0,70.0,44.0,0.0,0.0,false,1.1191648431801604
43,450.0,80.0,44.0,0.0,0.0,false,1.5328423447697743
44,450.0,90.0,44.0,0.0,0.0,false,1.7961844366109863
45,450.0,10.0,45.0,0.0,0.0,false,4.1085149756939
46,450.0,20.0,45.0,0.0,0.0,false,2.311905912679233
47,450.0,30.0,45.0,0.0,0.0,false,1.6679100500905892
48,450.0,40.0,45.0,0.0,0.0,false,1.2642986152919928
49,450.0,50.0,45.0,0.0,0.0,false,1.0838035127984444
50,450.0,60.0,45.0,0.0,0.0,false,1.0864945276803741
51,450.0,70.0,45.0,0.0,0.0,false,1.1210915292779988
52,450.0,80.0,45.0,0.0,0.0,false,1.1490813334131307
53,450.0,90.0,45.0,0.0,0.0,false,1.5105043879088733
54,450.0,10.0,46.0,0.0,0.0,false,4.270235818992989
55,450.0,20.0,46.0,0.0,0.0,false,2.2076795710793977
56,450.0,30.0,46.0,0.0,0.0,false,1.5680378047470733
57,450.0,40.0,46.0,0.0,0.0,false,1.2553802008608321
58,450.0,50.0,46.0,0.0,0.0,false,1.0624381839645216
59,450.0,60.0,46.0,0.0,0.0,false,1.141188959660297
60,450.0,70.0,46.0,0.0,0.0,false,1.178096467976166
61,450.0,80.0,46.0,0.0,0.0,false,1.5764958796130417
62,450.0,90.0,46.0,0.0,0.0,false,2.004280988519167
63,450.0,10.0,47.0,0.0,0.0,false,4.197805692478932
64,450.0,20.0,47.0,0.0,0.0,false,2.259440669932059
65,450.0,30.0,47.0,0.0,0.0,false,1.6389964461889353
66,450.0,40.0,47.0,0.0,0.0,false,1.3143265565438373
67,450.0,50.0,47.0,0.0,0.0,false,1.0871650572360427
68,450.0,60.0,47.0,0.0,0.0,false,1.2607601642166602
69,450.0,70.0,47.0,0.0,0.0,false,1.2266861233982398
70,450.0,80.0,47.0,0.0,0.0,false,1.317756823029844
71,450.0,90.0,47.0,0.0,0.0,false,1.8969949472564487
72,450.0,10.0,48.0,0.0,0.0,false,4.209511568123394
73,450.0,20.0,48.0,0.0,0.0,false,2.14035646085296
74,450.0,30.0,48.0,0.0,0.0,false,1.5623339355935806
75,450.0,40.0,48.0,0.0,0.0,false,1.254303011118585
76,450.0,50.0,48.0,0.0,0.0,false,1.2595820477750566
77,450.0,60.0,48.0,0.0,0.0,false,1.0927082230923908
78,450.0,70.0,48.0,0.0,0.0,false,1.2274285714285715
79,450.0,80.0,48.0,0.0,0.0,false,1.5321084445508408
80,450.0,90.0,48.0,0.0,0.0,false,1.6720690082717822
81,450.0,10.0,49.0,0.0,0.0,false,4.352696431429029
82,450.0,20.0,49.0,0.0,0.0,false,2.303523035230352
83,450.0,30.0,49.0,0.0,0.0,false,1.6278209396966332
84,450.0,40.0,49.0,0.0,0.0,false,1.1990121096239643
85,450.0,50.0,49.0,0.0,0.0,false,1.1021471223478594
86,450.0,60.0,49.0,0.0,0.0,false,1.2064449559488848
87,450.0,70.0,49.0,0.0,0.0,false,1.2618944389932227
88,450.0,80.0,49.0,0.0,0.0,false,1.3646656867029519
89,450.0,90.0,49.0,0.0,0.0,false,2.174374204497242
90,450.0,10.0,50.0,0.0,0.0,false,4.338009998387357
91,450.0,20.0,50.0,0.0,0.0,false,2.24966569653111
92,450.0,30.0,50.0,0.0,0.0,false,1.5425960763235689
93,450.0,40.0,50.0,0.0,0.0,false,1.2783357814919212
94,450.0,50.0,50.0,0.0,0.0,false,1.1543231468820554
95,450.0,60.0,50.0,0.0,0.0,false,1.1720831113478956
96,450.0,70.0,50.0,0.0,0.0,false,1.3376027615024755
97,450.0,80.0,50.0,0.0,0.0,false,1.8118912865228087
98,450.0,90.0,50.0,0.0,0.0,false,3.397826663132786
99,450.0,10.0,51.0,0.0,0.0,false,4.166666666666666
100,450.0,20.0,51.0,0.0,0.0,false,2.238388360380526
101,450.0,30.0,51.0,0.0,0.0,false,1.5889042406206824
102,450.0,40.0,51.0,0.0,0.0,false,1.3204896648605258
103,450.0,50.0,51.0,0.0,0.0,false,1.146086068190525
104,450.0,60.0,51.0,0.0,0.0,false,1.3802787050283474
105,450.0,70.0,51.0,0.0,0.0,false,1.4902281983027323
106,450.0,80.0,51.0,0.0,0.0,false,1.767892220083732
107,450.0,90.0,51.0,0.0,0.0,false,3.0625596774763943
108,450.0,10.0,52.0,0.0,0.0,false,4.068589243959471
