L/2,density,probability_of_spread,south_wind_speed,west_wind_speed,big_jumps,percentage_burned,giant_component
50.0,10.0,100.0,0.0,0.0,false,11.646586345381527,116.0
50.0,20.0,100.0,0.0,0.0,false,6.990291262135923,144.0
50.0,30.0,100.0,0.0,0.0,false,4.925949774629749,153.0
50.0,40.0,100.0,0.0,0.0,false,4.937655860349127,198.0
50.0,50.0,100.0,0.0,0.0,false,6.620689655172414,336.0
50.0,60.0,100.0,0.0,0.0,false,55.024002648568114,3324.0
50.0,70.0,100.0,0.0,0.0,false,98.7114131973945,6971.0
50.0,80.0,100.0,0.0,0.0,false,101.07739938080496,8162.0
50.0,90.0,100.0,0.0,0.0,false,101.0951702989815,9231.0
100.0,10.0,100.0,0.0,0.0,false,5.633100697906281,226.0
100.0,20.0,100.0,0.0,0.0,false,3.238506477012954,255.0
100.0,30.0,100.0,0.0,0.0,false,2.664784990868338,321.0
100.0,40.0,100.0,0.0,0.0,false,2.6118225979433474,414.0
100.0,50.0,100.0,0.0,0.0,false,3.5482258870564722,710.0
100.0,60.0,100.0,0.0,0.0,false,73.23045957732305,17464.0
100.0,70.0,100.0,0.0,0.0,false,98.97821133580177,27801.0
100.0,80.0,100.0,0.0,0.0,false,100.39096437880104,32354.0
100.0,90.0,100.0,0.0,0.0,false,100.5506516505714,36338.0
150.0,10.0,100.0,0.0,0.0,false,3.6523090586145646,329.0
150.0,20.0,100.0,0.0,0.0,false,2.085984617938361,377.0
150.0,30.0,100.0,0.0,0.0,false,1.5406783418310797,417.0
150.0,40.0,100.0,0.0,0.0,false,1.7955028526680836,642.0
150.0,50.0,100.0,0.0,0.0,false,2.1229593301963905,961.0
150.0,60.0,100.0,0.0,0.0,false,77.97451596888962,42408.0
150.0,70.0,100.0,0.0,0.0,false,98.70420581373352,62614.0
150.0,80.0,100.0,0.0,0.0,false,100.19360548733268,72452.0
150.0,90.0,100.0,0.0,0.0,false,100.35815037409543,81822.0
200.0,10.0,100.0,0.0,0.0,false,2.7213420316868593,438.0
200.0,20.0,100.0,0.0,0.0,false,1.540336186964944,493.0
200.0,30.0,100.0,0.0,0.0,false,1.2928787404858721,620.0
200.0,40.0,100.0,0.0,0.0,false,1.4156715146446108,914.0
200.0,50.0,100.0,0.0,0.0,false,1.6145976637734811,1291.0
200.0,60.0,100.0,0.0,0.0,false,26.602590803065645,25547.0
200.0,70.0,100.0,0.0,0.0,false,98.7067776244938,110902.0
200.0,80.0,100.0,0.0,0.0,false,100.10124295193296,128534.0
200.0,90.0,100.0,0.0,0.0,false,100.27114365759617,144595.0
250.0,10.0,100.0,0.0,0.0,false,2.1726059245600675,542.0
250.0,20.0,100.0,0.0,0.0,false,1.258364126635374,630.0
250.0,30.0,100.0,0.0,0.0,false,0.9878055274508759,742.0
250.0,40.0,100.0,0.0,0.0,false,1.1692928324646017,1171.0
