L/2,density,probability_of_spread,south_wind_speed,west_wind_speed,big-jumps,percentage-burned
450,50,100,-20,0,FALSE,3.183887694
450,51,100,-20,0,FALSE,2.706818323
450,52,100,-20,0,FALSE,2.772942434
450,53,100,-20,0,FALSE,5.610135985
450,54,100,-20,0,FALSE,3.605470369
450,55,100,-20,0,FALSE,3.857944358
450,56,100,-20,0,FALSE,5.754290105
450,57,100,-20,0,FALSE,5.323140681
450,58,100,-20,0,FALSE,5.641830497
450,59,100,-20,0,FALSE,5.124312014
450,60,100,-20,0,FALSE,41.22897904
450,61,100,-20,0,FALSE,14.99422996
450,62,100,-20,0,FALSE,76.95035461
450,63,100,-20,0,FALSE,84.14498611
450,64,100,-20,0,FALSE,88.35607925
450,65,100,-20,0,FALSE,89.85755964
450,66,100,-20,0,FALSE,90.33900771
450,67,100,-20,0,FALSE,91.62311094
450,68,100,-20,0,FALSE,95.51567405
450,69,100,-20,0,FALSE,96.58354287
450,70,100,-20,0,FALSE,97.09078483
450,50,100,-10,0,FALSE,3.674986383
450,51,100,-10,0,FALSE,3.235431235
450,52,100,-10,0,FALSE,2.690693656
450,53,100,-10,0,FALSE,3.871237958
450,54,100,-10,0,FALSE,4.25738782
450,55,100,-10,0,FALSE,6.742288327
450,56,100,-10,0,FALSE,9.407022623
450,57,100,-10,0,FALSE,5.703965054
450,58,100,-10,0,FALSE,34.63711668
450,59,100,-10,0,FALSE,24.58716091
450,60,100,-10,0,FALSE,34.78525981
450,61,100,-10,0,FALSE,17.11293117
450,62,100,-10,0,FALSE,80.58927248
450,63,100,-10,0,FALSE,85.84124419
450,64,100,-10,0,FALSE,89.92041117
450,65,100,-10,0,FALSE,92.27600412
450,66,100,-10,0,FALSE,94.28689061
450,67,100,-10,0,FALSE,95.69838779
450,68,100,-10,0,FALSE,97.11644494
450,69,100,-10,0,FALSE,97.57309604
450,70,100,-10,0,FALSE,97.73333637
450,50,100,0,0,FALSE,3.377752213
450,51,100,0,0,FALSE,2.59429507
450,52,100,0,0,FALSE,5.316696887
450,53,100,0,0,FALSE,5.664044977
450,54,100,0,0,FALSE,5.217083739
450,55,100,0,0,FALSE,5.223536198
450,56,100,0,0,FALSE,5.769725374
450,57,100,0,0,FALSE,14.16694753
450,58,100,0,0,FALSE,32.58584636
450,59,100,0,0,FALSE,41.91623206
450,60,100,0,0,FALSE,71.50669583
450,61,100,0,0,FALSE,85.41259797
450,62,100,0,0,FALSE,88.96468597
450,63,100,0,0,FALSE,92.54737055
450,64,100,0,0,FALSE,92.56321639
450,65,100,0,0,FALSE,95.64961931
450,66,100,0,0,FALSE,96.71784013
450,67,100,0,0,FALSE,96.8881393
450,68,100,0,0,FALSE,97.74309612
450,69,100,0,0,FALSE,98.49857445
450,70,100,0,0,FALSE,99.00487363
450,50,100,10,0,FALSE,2.896529868
450,51,100,10,0,FALSE,3.753166734
450,52,100,10,0,FALSE,4.150745717
450,53,100,10,0,FALSE,3.852520692
450,54,100,10,0,FALSE,3.594674556
450,55,100,10,0,FALSE,7.103347889
450,56,100,10,0,FALSE,10.16901008
450,57,100,10,0,FALSE,5.432657393
450,58,100,10,0,FALSE,12.59222688
450,59,100,10,0,FALSE,21.39027347
450,60,100,10,0,FALSE,38.02794411
450,61,100,10,0,FALSE,77.29581152
450,62,100,10,0,FALSE,85.3135398
450,63,100,10,0,FALSE,89.96899186
450,64,100,10,0,FALSE,91.33388277
450,65,100,10,0,FALSE,93.06410854
450,66,100,10,0,FALSE,94.29240274
450,67,100,10,0,FALSE,95.50898917
450,68,100,10,0,FALSE,96.379858
450,69,100,10,0,FALSE,97.13200204
450,70,100,10,0,FALSE,98.10028666
450,50,100,20,0,FALSE,3.124304031
450,51,100,20,0,FALSE,3.01252079
450,52,100,20,0,FALSE,3.196840189
450,53,100,20,0,FALSE,4.532102392
450,54,100,20,0,FALSE,4.084201897
450,55,100,20,0,FALSE,3.80664125
450,56,100,20,0,FALSE,5.359986351
450,57,100,20,0,FALSE,3.342540666
450,58,100,20,0,FALSE,9.23797011
450,59,100,20,0,FALSE,8.821632083
450,60,100,20,0,FALSE,12.40425532
450,61,100,20,0,FALSE,54.6930042
450,62,100,20,0,FALSE,73.09575695
450,63,100,20,0,FALSE,85.40705443
450,64,100,20,0,FALSE,86.38718794
450,65,100,20,0,FALSE,89.68130922
450,66,100,20,0,FALSE,93.68441367
450,67,100,20,0,FALSE,95.13475177
450,68,100,20,0,FALSE,96.25892544
450,69,100,20,0,FALSE,97.12975974
450,70,100,20,0,FALSE,97.45795587
450,50,100,-20,0,FALSE,2.704680689
450,51,100,-20,0,FALSE,3.007069914
450,52,100,-20,0,FALSE,3.530934188
450,53,100,-20,0,FALSE,3.600949833
450,54,100,-20,0,FALSE,4.822057214
450,55,100,-20,0,FALSE,3.486689815
450,56,100,-20,0,FALSE,6.254086477
450,57,100,-20,0,FALSE,4.755291373
450,58,100,-20,0,FALSE,8.170033162
450,59,100,-20,0,FALSE,13.66324391
450,60,100,-20,0,FALSE,24.89198717
450,61,100,-20,0,FALSE,25.79896168
450,62,100,-20,0,FALSE,38.51136013
450,63,100,-20,0,FALSE,83.90224095
450,64,100,-20,0,FALSE,77.99235466
450,65,100,-20,0,FALSE,92.02453988
450,66,100,-20,0,FALSE,91.74958941
450,67,100,-20,0,FALSE,93.88498631
450,68,100,-20,0,FALSE,94.6920498
450,69,100,-20,0,FALSE,97.21658519
450,70,100,-20,0,FALSE,96.89777697
450,50,100,-10,0,FALSE,2.257249736
450,51,100,-10,0,FALSE,3.730223251
450,52,100,-10,0,FALSE,3.657791891
450,53,100,-10,0,FALSE,3.00955127
450,54,100,-10,0,FALSE,4.373933008
450,55,100,-10,0,FALSE,3.982724137
450,56,100,-10,0,FALSE,5.947374403
450,57,100,-10,0,FALSE,9.963813852
450,58,100,-10,0,FALSE,15.28722028
450,59,100,-10,0,FALSE,10.33423181
450,60,100,-10,0,FALSE,30.62923627
450,61,100,-10,0,FALSE,67.65911881
450,62,100,-10,0,FALSE,80.02925177
450,63,100,-10,0,FALSE,85.58819821
450,64,100,-10,0,FALSE,91.40132135
450,65,100,-10,0,FALSE,93.31565247
450,66,100,-10,0,FALSE,95.06506024
450,67,100,-10,0,FALSE,95.92517574
450,68,100,-10,0,FALSE,96.59949917
450,69,100,-10,0,FALSE,97.41114524
450,70,100,-10,0,FALSE,98.40406156
450,50,100,0,0,FALSE,3.458387786
450,51,100,0,0,FALSE,4.459493197
450,52,100,0,0,FALSE,4.530882667
450,53,100,0,0,FALSE,3.648314539
450,54,100,0,0,FALSE,4.389002338
450,55,100,0,0,FALSE,7.620239169
450,56,100,0,0,FALSE,6.667985195
450,57,100,0,0,FALSE,7.493598222
450,58,100,0,0,FALSE,4.531962843
450,59,100,0,0,FALSE,43.20425209
