,L/2,density,probability_of_spread,south_wind_speed,west_wind_speed,big-jumps,percentage-burned
0,450.0,10.0,20.0,-20.0,-20.0,false,1.1059149881552945
1,450.0,20.0,20.0,-20.0,-20.0,false,0.5541409892123941
2,450.0,30.0,20.0,-20.0,-20.0,false,0.36981094903093936
3,450.0,40.0,20.0,-20.0,-20.0,false,0.2777478074569584
4,450.0,50.0,20.0,-20.0,-20.0,false,0.22229514182726112
5,450.0,60.0,20.0,-20.0,-20.0,false,0.18546078049965314
6,450.0,70.0,20.0,-20.0,-20.0,false,0.15880877555085143
7,450.0,80.0,20.0,-20.0,-20.0,false,0.13881592022937753
8,450.0,90.0,20.0,-20.0,-20.0,false,0.12346135769125892
9,450.0,10.0,40.0,-20.0,-20.0,false,1.1316605512521156
10,450.0,20.0,40.0,-20.0,-20.0,false,0.5908054359044081
11,450.0,30.0,40.0,-20.0,-20.0,false,0.4006769917517367
12,450.0,40.0,40.0,-20.0,-20.0,false,0.3144576301582492
13,450.0,50.0,40.0,-20.0,-20.0,false,0.2526105973105852
14,450.0,60.0,40.0,-20.0,-20.0,false,0.22399684349402194
15,450.0,70.0,40.0,-20.0,-20.0,false,0.2030496220139632
16,450.0,80.0,40.0,-20.0,-20.0,false,0.2109223577699236
17,450.0,90.0,40.0,-20.0,-20.0,false,0.19672086200751238
18,450.0,10.0,60.0,-20.0,-20.0,false,1.1734366516953754
19,450.0,20.0,60.0,-20.0,-20.0,false,0.6147667212852198
20,450.0,30.0,60.0,-20.0,-20.0,false,0.419218281205047
21,450.0,40.0,60.0,-20.0,-20.0,false,0.3609262643977525
22,450.0,50.0,60.0,-20.0,-20.0,false,0.3300622248456676
23,450.0,60.0,60.0,-20.0,-20.0,false,0.315309478412716
24,450.0,70.0,60.0,-20.0,-20.0,false,0.35356490718480554
25,450.0,80.0,60.0,-20.0,-20.0,false,0.5845510194958248
26,450.0,90.0,60.0,-20.0,-20.0,false,4.062156113858774
27,450.0,10.0,80.0,-20.0,-20.0,false,1.1964463940263932
28,450.0,20.0,80.0,-20.0,-20.0,false,0.6484964147412499
29,450.0,30.0,80.0,-20.0,-20.0,false,0.4792851006457606
